id,GDP,industry_labor,annual_income,edu_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Original Reciprocal Tariffs
1,27700000000000.0,171333247.0,80450.0,13.36,25852776074.867,440477681.671,166167106.106,141428571.568,80958346.912,67070493.823,48157720.703,68957380.802,34132166.389,417032445.765,459146170.053,13339161.425,117908699.641,21719812.152,26499069.794,25656102.62,14975349.1,16643711.815,45194240.134,13006253.653,0.0
2,17800000000000.0,774607590.0,13390.0,9.38,145334425.045,14694568144.331,101612493.928,123955663.425,17053091.925,34374219.745,27292871.555,20867801.775,104584701.33,27661862.55,13446984.074,138974758.23099998,161625166.343,8428250.908,67983477.072,18376429.13,3573603.054,63734912.903,45460592.562,4854837.184,0.34
3,4530000000000.0,43815458.0,54800.0,13.38,81695727.397,142100848.35,2940124597.978,22083254.407,13080410.248,38835208.085,79103389.47,78602040.288,6347116.324,4791808.158,10718477.313,4774157.088,13908276.588,42206827.903,3671989.558,108329212.976,21409734.362,2667478.896,50602203.297,79795978.837,0.2
4,4200000000000.0,69197135.0,39350.0,12.92,75586053.432,165417858.199,21901162.306,3490433661.553,5454771.333,6951049.684,8100588.068,9479981.774,6742172.058999999,12543059.9,4626775.146,63734961.376,28445642.87,3877344.278,22878900.884,4780270.104,738245.1630000001,34674231.615,8328603.528,982089.087,0.24
5,3570000000000.0,588969543.0,2540.0,8.38,42018238.741,120263852.952,17970520.819,18009714.565,3157866240.211,6875619.374,7038850.308,6313855.203,4837869.819,6960008.391,4062066.083,20599620.119000003,19596512.318,2893057.677,23070345.071,2588685.878,3126373.849,34795739.813,17403460.528,1666958.816,0.26
6,3380000000000.0,34877594.0,47700.0,13.06,69245013.125,96429691.299,75311744.836,14502434.923,13859383.989,2938560906.739,39071178.47,28351037.749,4593496.421,11400278.58,5432470.893,4530946.211999999,7920268.223,25720829.347,2822592.904,28562547.999,13575096.2,3393247.663,10671435.77,18984421.412,0.1
7,3050000000000.0,31618891.0,45180.0,12.08,37914923.72,45167459.157,121215933.441,5756374.857,7797238.586,27924341.526,2439769920.674,65041597.862,3032250.055,3558773.543,1690806.851,1649077.586,9291373.703,63000761.651,1272812.052,64619537.918,10521396.881,5801914.296,18493921.513,18316323.986,0.2
8,2300000000000.0,25810867.0,37920.0,11.83,26476446.793,47058879.664,93398041.83,5855583.809,9946450.665,10182616.717,56733275.841,1670463911.652,4582056.182,2247264.667,1217791.32,944185.405,6230126.813,34987167.402,2881488.594,38286099.136,12790265.919,6488654.944,19186622.519,16810303.172,0.2
9,2170000000000.0,106356432.0,9280.0,8.32,39662169.682,57608159.507,13776225.651,5043093.201,7115320.369,3307068.074,5389318.896,5768572.44,1845063820.762,3259255.9110000003,5715841.914,2042593.526,5050818.381,3750294.78,1526101.57,3345185.4760000003,900540.706,3696519.966,3185899.587,893863.326,0.1
10,2140000000000.0,22197237.0,54040.0,12.98,301878936.171,61874507.467,14431175.781,13467288.11,4798634.979,7397639.381,5136535.472,7091607.688,5985041.104,1581358919.835,33180216.677,2435988.166,10173755.657,2629871.816,1952263.651,3543897.96,1697388.477,1599231.49,4650133.319,2170198.929,0.1
