id,name,code,edu_year,density,human_capital,r_and_d,labor,GDP,CPI,ag,indus,serv,Annual income
1,USA,USA,13.36,28.00689161,0.762,2.7385877,171333247.0,27700000000000.0,139.7357936,1.569609917,19.33565893,79.09473115,80450.0
2,China,CHN,9.38,124.0880888,0.673,1.535015003,774607590.0,17800000000000.0,132.2291519,22.33370987,31.83744116,45.82884897,13390.0
3,Germany,DEU,13.38,230.9300203,0.795,2.668934254,43815458.0,4530000000000.0,131.8924482,1.198706553,26.50471703,72.29657642,54800.0
4,Japan,JPN,12.92,341.2643993,0.844,3.097944608,69197135.0,4200000000000.0,111.3640359,3.005134765,23.7088487,73.28601653,39350.0
5,India,IND,8.38,303.6997535,0.44,0.730579996,588969543.0,3570000000000.0,216.862025,43.51358293,25.02920877,31.4572083,2540.0
6,United Kingdom,GBR,13.06,238.0043897,0.781,1.887881536,34877594.0,3380000000000.0,142.7408914,0.986473796,17.76840009,81.24512611,47700.0
7,France,FRA,12.08,107.46939,0.765,2.163113869,31618891.0,3050000000000.0,124.0273452,2.505409416,19.24541507,78.24917893,45180.0
8,Italy,ITA,11.83,193.1151168,0.769,1.193530399,25810867.0,2300000000000.0,128.6172919,3.594571522,26.63740597,69.76802251,37920.0
9,Brazil,BRA,8.32,18.45806352,0.56,1.123433809,106356432.0,2170000000000.0,213.8751353,8.202818535,20.17156855,71.62561292,9280.0
10,Canada,CAN,12.98,3.164461458,0.799,1.801448147,22197237.0,2140000000000.0,134.8955352,1.271544025,19.21389443,79.51456155,54040.0
11,Mexico,MEX,10.64,44.26287147,0.607,0.365280739,60144623.0,1790000000000.0,176.1160036,11.96475522,25.0311262,63.00411858,11980.0
12,Australia,AUS,12.89,2.275182563,0.803,1.949158467,14593816.0,1730000000000.0,139.880333,2.14756517,19.11180301,78.74063182,63150.0
13,Rep. of Korea,KOR,14.0,453.5347502,0.845,3.234056537,29587631.0,1710000000000.0,129.1959648,5.324327948,23.99142113,70.68425092,35490.0
14,Spain,ESP,11.67,78.40318156,0.743,1.142865,24199271.0,1620000000000.0,127.9574347,3.622364438,19.88735892,76.49027664,32830.0
15,Indonesia,IDN,9.65,104.9055482,0.535,0.171662223,141349381.0,1370000000000.0,169.0567,28.7684839,22.08535082,49.14616601,4810.0
16,Netherlands,NLD,11.88,449.7679502,0.8,1.918780767,10247550.0,1150000000000.0,137.6663907,1.90740611,14.08120155,84.01139234,62540.0
17,Turkey,TUR,8.83,75.34804776,0.626,0.774369614,35554975.0,1120000000000.0,834.5931428,14.64270317,27.59329939,57.76399744,11730.0
18,Saudi Arabia,SAU,10.36,5.436447116,0.585,0.373332141,16120882.0,1070000000000.0,132.3643698,2.831958759,16.34522112,80.82282012,31860.0
19,Switzerland,CHE,12.96,173.9302591,0.767,2.83192669,5089291.0,885000000000.0,104.4000305,1.905813564,19.87829531,78.21589112,95070.0
20,Poland,POL,12.09,125.2527572,0.747,0.809012308,18341629.0,809000000000.0,158.1560804,7.601694055,29.64392954,62.75438171,19900.0
